location,date,total_cases,total_deaths,Deaths_Percentage
Asia,03-01-2020,0,0,0
Asia,04-01-2020,1,0,0
Asia,05-01-2020,1,0,0
Asia,06-01-2020,4,0,0
Asia,07-01-2020,4,0,0
Asia,08-01-2020,4,0,0
Asia,09-01-2020,4,0,0
Asia,10-01-2020,4,0,0
Asia,11-01-2020,4,0,0
Asia,12-01-2020,45,1,2.2222
Asia,13-01-2020,46,1,2.1739
Asia,14-01-2020,51,1,1.9608
Asia,15-01-2020,51,1,1.9608
Asia,16-01-2020,51,1,1.9608
Asia,17-01-2020,52,2,3.8462
Asia,18-01-2020,56,2,3.5714
Asia,19-01-2020,133,3,2.2556
Asia,20-01-2020,210,4,1.9048
Asia,21-01-2020,303,6,1.9802
Asia,22-01-2020,451,17,3.7694
Asia,23-01-2020,581,18,3.0981
Asia,24-01-2020,852,26,3.0516
Asia,25-01-2020,1319,42,3.1842
Asia,26-01-2020,2011,56,2.7847
Asia,27-01-2020,2801,82,2.9275
Asia,28-01-2020,4573,131,2.8646
Asia,29-01-2020,6050,133,2.1983
Asia,30-01-2020,7800,171,2.1923
Asia,31-01-2020,9810,213,2.1713
Asia,01-02-2020,11915,259,2.1737
Asia,02-02-2020,14515,362,2.494
Asia,03-02-2020,17350,426,2.4553
Asia,04-02-2020,20595,492,2.3889
Asia,05-02-2020,24501,564,2.3019
Asia,06-02-2020,28214,634,2.2471
Asia,07-02-2020,31371,719,2.2919
Asia,08-02-2020,34766,806,2.3184
Asia,09-02-2020,37429,906,2.4206
Asia,10-02-2020,40419,1013,2.5062
Asia,11-02-2020,42900,1113,2.5944
Asia,12-02-2020,44932,1118,2.4882
Asia,13-02-2020,60096,1371,2.2813
Asia,14-02-2020,64161,1523,2.3737
Asia,15-02-2020,66818,1665,2.4918
Asia,16-02-2020,68852,1769,2.5693
Asia,17-02-2020,70910,1867,2.6329
Asia,18-02-2020,72818,2006,2.7548
Asia,19-02-2020,74614,2119,2.8399
Asia,20-02-2020,75031,2242,2.9881
Asia,21-02-2020,76023,2244,2.9517
Asia,22-02-2020,77067,2453,3.1829
Asia,23-02-2020,77969,2456,3.15
Asia,24-02-2020,78423,2613,3.3319
Asia,25-02-2020,79102,2688,3.3981
Asia,26-02-2020,79854,2747,3.44
Asia,27-02-2020,80843,2783,3.4425
Asia,28-02-2020,81761,2835,3.4674
Asia,29-02-2020,83282,2894,3.4749
Asia,01-03-2020,84691,2941,3.4726
Asia,02-03-2020,86009,3000,3.488
Asia,03-03-2020,87323,3050,3.4928
Asia,04-03-2020,88860,3101,3.4898
Asia,05-03-2020,90091,3151,3.4976
Asia,06-03-2020,91420,3204,3.5047
Asia,07-03-2020,93416,3251,3.4801
Asia,08-03-2020,95025,3306,3.4791
Asia,09-03-2020,96184,3387,3.5214
Asia,10-03-2020,97098,3450,3.5531
Asia,11-03-2020,98448,3539,3.5948
Asia,12-03-2020,100086,3625,3.6219
Asia,13-03-2020,101486,3717,3.6626
Asia,14-03-2020,103272,3831,3.7096
Asia,15-03-2020,105152,3942,3.7489
Asia,16-03-2020,106949,4076,3.8112
Asia,17-03-2020,108741,4230,3.89
Asia,18-03-2020,110778,4401,3.9728
Asia,19-03-2020,113165,4575,4.0428
Asia,20-03-2020,115323,4747,4.1163
Asia,21-03-2020,118058,4932,4.1776
Asia,22-03-2020,120800,5111,4.231
Asia,23-03-2020,123408,5274,4.2736
Asia,24-03-2020,126867,5452,4.2974
Asia,25-03-2020,130851,5611,4.2881
Asia,26-03-2020,135522,5818,4.293
Asia,27-03-2020,141149,6049,4.2855
Asia,28-03-2020,148255,6263,4.2245
Asia,29-03-2020,155459,6476,4.1657
Asia,30-03-2020,162650,6678,4.1057
Asia,31-03-2020,169716,6897,4.0638
Asia,01-04-2020,178840,7150,3.998
Asia,02-04-2020,187141,7432,3.9713
Asia,03-04-2020,195771,7711,3.9388
Asia,04-04-2020,205027,8003,3.9034
Asia,05-04-2020,213779,8299,3.882
Asia,06-04-2020,223438,8623,3.8592
Asia,07-04-2020,232545,8907,3.8302
Asia,08-04-2020,242610,9228,3.8036
Asia,09-04-2020,252788,9544,3.7755
Asia,10-04-2020,262478,9876,3.7626
Asia,11-04-2020,273854,10222,3.7326
Asia,12-04-2020,285955,10587,3.7023
Asia,13-04-2020,297443,10980,3.6915
Asia,14-04-2020,308751,11349,3.6758
Asia,15-04-2020,319778,11677,3.6516
Asia,16-04-2020,331002,12036,3.6362
Asia,17-04-2020,343688,12377,3.6012
Asia,18-04-2020,356286,14028,3.9373
Asia,19-04-2020,367696,14353,3.9035
Asia,20-04-2020,380147,14678,3.8611
Asia,21-04-2020,394125,15059,3.8209
Asia,22-04-2020,406926,15485,3.8054
Asia,23-04-2020,419202,15824,3.7748
Asia,24-04-2020,431742,16195,3.7511
Asia,25-04-2020,444863,16581,3.7272
Asia,26-04-2020,457367,16922,3.6999
Asia,27-04-2020,468845,17206,3.6699
Asia,28-04-2020,480107,17544,3.6542
Asia,29-04-2020,491529,17880,3.6376
Asia,30-04-2020,504134,18230,3.6161
Asia,01-05-2020,516713,18564,3.5927
Asia,02-05-2020,529723,18910,3.5698
Asia,03-05-2020,541983,19289,3.559
Asia,04-05-2020,555038,19591,3.5297
Asia,05-05-2020,569336,20015,3.5155
Asia,06-05-2020,582913,20375,3.4954
Asia,07-05-2020,599189,20780,3.468
Asia,08-05-2020,614169,21115,3.438
Asia,09-05-2020,630163,21491,3.4104
Asia,10-05-2020,645582,21814,3.379
Asia,11-05-2020,663900,22150,3.3363
Asia,12-05-2020,680094,22456,3.3019
Asia,13-05-2020,697311,22812,3.2714
Asia,14-05-2020,715531,23229,3.2464
Asia,15-05-2020,735666,23620,3.2107
Asia,16-05-2020,753508,23924,3.175
Asia,17-05-2020,773917,24324,3.143
Asia,18-05-2020,794906,24730,3.1111
Asia,19-05-2020,814797,25100,3.0805
Asia,20-05-2020,836750,25467,3.0436
Asia,21-05-2020,859646,25829,3.0046
Asia,22-05-2020,884998,26294,2.9711
Asia,23-05-2020,907984,26636,2.9335
Asia,24-05-2020,934131,27086,2.8996
Asia,25-05-2020,958440,27474,2.8665
Asia,26-05-2020,979740,27826,2.8401
Asia,27-05-2020,1001428,28263,2.8223
Asia,28-05-2020,1024244,28700,2.8021
Asia,29-05-2020,1049935,29135,2.7749
Asia,30-05-2020,1077949,29715,2.7566
Asia,31-05-2020,1105733,30234,2.7343
Asia,01-06-2020,1134006,30775,2.7138
Asia,02-06-2020,1162327,31299,2.6928
